,author,review_text,review_rating,datetime,review_link,text_tokens,text_token_filtered,review_stemmed
10,Nur Ikhsan Maulidani,rame kalo liburan,5,04/04/2023 09:00:54,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSMGFLT3lRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR0aKOyQE%7CCgsIxs6voQYQgMW9YQ%7C?hl=id,"['rame', 'kalo', 'liburan']","['rame', 'kalo', 'liburan']",rame kalo libur
11,Anata Jaya,tempat liburan yg sangat bagus pemandangan indah hawanya dingin cuman penginapan disekitar telaga sarangan perlu diperbanyak,5,04/04/2023 04:40:40,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSa2R6ZVVBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRkdzeUA%7CCgsIyNSuoQYQkJindg%7C?hl=id,"['tempat', 'liburan', 'yg', 'sangat', 'bagus', 'pemandangan', 'indah', 'hawanya', 'dingin', 'cuman', 'penginapan', 'disekitar', 'telaga', 'sarangan', 'perlu', 'diperbanyak']","['liburan', 'yg', 'bagus', 'pemandangan', 'indah', 'hawanya', 'dingin', 'cuman', 'penginapan', 'disekitar', 'telaga', 'sarangan', 'diperbanyak']",libur yg bagus pandang indah hawa dingin cuman inap sekitar telaga sarangan banyak
12,feby ariansyah,,5,04/02/2023 11:41:53,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSN3RpVjJBRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR7tiV2AE%7CCgwIgdSloQYQ4L7xtgM%7C?hl=id,[],[],
13,Febriana Rahmawati,diterjemahkan oleh google suejukk asli suwejukk,4,04/02/2023 03:35:49,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSenZITy1nRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRzvHO-gE%7CCgwIlfCjoQYQqJS6hQM%7C?hl=id,"['diterjemahkan', 'oleh', 'google', 'suejukk', 'asli', 'suwejukk']","['diterjemahkan', 'google', 'suejukk', 'asli', 'suwejukk']",terjemah google suejukk asli suwejukk
14,Juliann Alfendi,,4,03/31/2023 21:52:14,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSNW9INXlRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR5oH5yQE%7CCgwIjqydoQYQ6LGbmQE%7C?hl=id,[],[],
15,Umi Kholishoh,,4,03/30/2023 13:03:28,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSbXBUd2xRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRmpTwlQE%7CCgwIoJGWoQYQsJPNkQM%7C?hl=id,[],[],
16,maulia & mas didit,pemandangan alam yg sangat indah dan masih alami sejuk sangat cocok untuk tempat liburan,5,03/29/2023 11:48:47,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSc3NXS0VBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRssWKEA%7CCgsIn8uQoQYQwP_EbQ%7C?hl=id,"['pemandangan', 'alam', 'yg', 'sangat', 'indah', 'dan', 'masih', 'alami', 'sejuk', 'sangat', 'cocok', 'untuk', 'tempat', 'liburan']","['pemandangan', 'alam', 'yg', 'indah', 'alami', 'sejuk', 'cocok', 'liburan']",pandang alam yg indah alami sejuk cocok libur
17,Nenita Yuliasari,tempat sejuk untuk merefresh otak,5,03/29/2023 00:04:27,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSa3Vxd2ZBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRkuqwfA%7CCgwIi4GOoQYQgMuqugE%7C?hl=id,"['tempat', 'sejuk', 'untuk', 'merefresh', 'otak']","['sejuk', 'merefresh', 'otak']",sejuk merefresh otak
18,Okta Vian,dingin sejuk ada wahana berkuda dan speed boat pemandangan yang menakjubkan,5,03/28/2023 08:15:52,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSZ3ViWmlRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRgubZiQE%7CCgwIuMSKoQYQgO3f5wI%7C?hl=id,"['dingin', 'sejuk', 'ada', 'wahana', 'berkuda', 'dan', 'speed', 'boat', 'pemandangan', 'yang', 'menakjubkan']","['dingin', 'sejuk', 'wahana', 'berkuda', 'speed', 'boat', 'pemandangan', 'menakjubkan']",dingin sejuk wahana kuda speed boat pandang takjub
19,Machfud Lubis,,5,03/28/2023 07:52:43,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSZ3JLZ1dREAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRgrKgWQ%7CCgwIy7mKoQYQ6O2kswM%7C?hl=id,[],[],
20,lee sulaiman,jalannya mejak isahakan kurang muatan kalo mau ke sini,5,03/26/2023 21:04:45,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSak5fbC1RRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRjN_l-QE%7CCgwI7eaCoQYQ6M_TgAI%7C?hl=id,"['jalannya', 'mejak', 'isahakan', 'kurang', 'muatan', 'kalo', 'mau', 'ke', 'sini']","['jalannya', 'mejak', 'isahakan', 'muatan', 'kalo']",jalan mejak isahakan muat kalo
21,apip NK,tempat yg asri dan sejuk,5,03/26/2023 11:51:27,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSdE1taWd3RRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRtMmigwE%7CCgwIv-OAoQYQ6J6myQM%7C?hl=id,"['tempat', 'yg', 'asri', 'dan', 'sejuk']","['yg', 'asri', 'sejuk']",yg asri sejuk
22,Hendra Fang,udara seger adem,5,03/26/2023 11:17:48,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSdEk3VUZBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRtI7UFA%7CCgwI3NOAoQYQ-IjuygM%7C?hl=id,"['udara', 'seger', 'adem']","['udara', 'seger', 'adem']",udara seger adem
23,Handaya Dwi,,5,03/26/2023 03:38:37,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSbExfdXFRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRlL_uqQE%7CCgsIvfz-oAYQ4Lb1Bw%7C?hl=id,[],[],
24,Eko Puji,,5,03/25/2023 15:33:43,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNScE1ieUJREAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRpMbyBQ%7CCgwI16j8oAYQ0OC3tQE%7C?hl=id,[],[],
25,Ninik Puji Astuti,,4,03/25/2023 08:45:23,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSaElPVm9nRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRhIOVogE%7CCgsIo-n6oAYQ0ISQaw%7C?hl=id,[],[],
26,Agth Elisa,telaga sarangan juga dikenal sebagai telaga pasir adalah telaga alami yang berada di ketinggian meter di atas permukaan laut dan terletak di lereng gunung lawu kecamatan plaosan kabupaten magetan jawa timur telaga ini berjarak sekitar kilometer arah barat kota magetan sarangan dengan sejuta kegan sarangan adalah alternatif healing untuk saya yang berdomisili di caruban gatau kenapa kalo ke sarangan rasanya plong banget hehehe,5,03/25/2023 00:50:04,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSLUthTnVBRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR-KaNuAE%7CCgwIvIr5oAYQuKDg2QE%7C?hl=id,"['telaga', 'sarangan', 'juga', 'dikenal', 'sebagai', 'telaga', 'pasir', 'adalah', 'telaga', 'alami', 'yang', 'berada', 'di', 'ketinggian', 'meter', 'di', 'atas', 'permukaan', 'laut', 'dan', 'terletak', 'di', 'lereng', 'gunung', 'lawu', 'kecamatan', 'plaosan', 'kabupaten', 'magetan', 'jawa', 'timur', 'telaga', 'ini', 'berjarak', 'sekitar', 'kilometer', 'arah', 'barat', 'kota', 'magetan', 'sarangan', 'dengan', 'sejuta', 'kegan', 'sarangan', 'adalah', 'alternatif', 'healing', 'untuk', 'saya', 'yang', 'berdomisili', 'di', 'caruban', 'gatau', 'kenapa', 'kalo', 'ke', 'sarangan', 'rasanya', 'plong', 'banget', 'hehehe']","['telaga', 'sarangan', 'dikenal', 'telaga', 'pasir', 'telaga', 'alami', 'ketinggian', 'meter', 'permukaan', 'laut', 'terletak', 'lereng', 'gunung', 'lawu', 'kecamatan', 'plaosan', 'kabupaten', 'magetan', 'jawa', 'timur', 'telaga', 'berjarak', 'kilometer', 'arah', 'barat', 'kota', 'magetan', 'sarangan', 'sejuta', 'kegan', 'sarangan', 'alternatif', 'healing', 'berdomisili', 'caruban', 'gatau', 'kalo', 'sarangan', 'plong', 'banget', 'hehehe']",telaga sarangan kenal telaga pasir telaga alami tinggi meter muka laut letak lereng gunung lawu camat plaosan kabupaten magetan jawa timur telaga jarak kilometer arah barat kota magetan sarangan juta kegan sarangan alternatif healing domisili caruban gatau kalo sarangan plong banget hehehe
27,Adhinona DY,,5,03/24/2023 19:13:12,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSdU1xY0tnEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRuMqcKg%7CCgwIyOz3oAYQwKuxygM%7C?hl=id,[],[],
28,Ach Zakariya,,4,03/24/2023 01:47:22,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNScUlHQW5RRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRqIGAnQE%7CCgwIqoL0oAYQ0Mj_8AI%7C?hl=id,[],[],
29,Patricia Magdalena,bagus bersih juga sayang kesini tidak bawa sepatu jogging padahal enak jogging keliling telaga sarangan,5,03/24/2023 00:11:31,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNScU56ei1nRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRqNzz-gE%7CCgwIs9XzoAYQoOnzgwI%7C?hl=id,"['bagus', 'bersih', 'juga', 'sayang', 'kesini', 'tidak', 'bawa', 'sepatu', 'jogging', 'padahal', 'enak', 'jogging', 'keliling', 'telaga', 'sarangan']","['bagus', 'bersih', 'sayang', 'kesini', 'bawa', 'sepatu', 'jogging', 'enak', 'jogging', 'keliling', 'telaga', 'sarangan']",bagus bersih sayang kesini bawa sepatu jogging enak jogging keliling telaga sarangan
30,Florensius Sukmowibowo,,5,03/23/2023 10:11:56,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSc0kyUURBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRsI2QDA%7CCgwI7MvwoAYQkOCHzAE%7C?hl=id,[],[],
31,Annisa Salsabilla,viewnya keren pol suasanya adem ramah lingkungan aman damaii sejukkk rekomended pol,5,03/21/2023 11:46:49,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobjhYVjJnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhn8XV2gE%7CCgwIqbLmoAYQwOHuiQI%7C?hl=id,"['viewnya', 'keren', 'pol', 'suasanya', 'adem', 'ramah', 'lingkungan', 'aman', 'damaii', 'sejukkk', 'rekomended', 'pol']","['viewnya', 'keren', 'pol', 'suasanya', 'adem', 'ramah', 'lingkungan', 'aman', 'damaii', 'sejukkk', 'rekomended', 'pol']",viewnya keren pol suasa adem ramah lingkung aman damai sejukkk rekomended pol
32,Reza Vahlevi,,5,03/21/2023 06:48:21,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoNzZIVjBBRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh76HV0AE%7CCgwItabloAYQ8P315gE%7C?hl=id,[],[],
33,Herlyneka Vinariesta,,5,03/20/2023 14:51:21,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoajhqWTBnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhj8jY0gE%7CCgsI6eXhoAYQkJWAMA%7C?hl=id,[],[],
34,Agus B.A,pemandangan dari sudut berbeda selalu keren,5,03/18/2023 15:53:32,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoMjZHYmtnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh26GbkgE%7CCgwI_LzXoAYQ-K7QtwI%7C?hl=id,"['pemandangan', 'dari', 'sudut', 'berbeda', 'selalu', 'keren']","['pemandangan', 'sudut', 'berbeda', 'keren']",pandang sudut beda keren
35,Takabusana Collection,,5,03/18/2023 02:44:30,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURocV9HeUdnEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhq_GyGg%7CCgwIjsvUoAYQwOjqzwI%7C?hl=id,[],[],
36,lallany lalla,dari semarang motoran cukup nekat yah tp terbayar sudah sesampainya di telaga di sana penduduknya ramah ramah pada nawarin nginep ,4,03/18/2023 00:56:12,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNlaEppaDdBRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICehJih7AE%7CCgsIrJjUoAYQ8MnqLQ%7C?hl=id,"['dari', 'semarang', 'motoran', 'cukup', 'nekat', 'yah', 'tp', 'terbayar', 'sudah', 'sesampainya', 'di', 'telaga', 'di', 'sana', 'penduduknya', 'ramah', 'ramah', 'pada', 'nawarin', 'nginep']","['semarang', 'motoran', 'nekat', 'yah', 'tp', 'terbayar', 'sesampainya', 'telaga', 'penduduknya', 'ramah', 'ramah', 'nawarin', 'nginep']",semarang motor nekat yah tp bayar sampa telaga duduk ramah ramah nawarin nginep
37,Aniza DwiAri safitri,pemandangan yang indah,5,03/16/2023 22:10:18,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoazdxaWF3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhk7qiaw%7CCgwIyqfOoAYQ0NrLrAI%7C?hl=id,"['pemandangan', 'yang', 'indah']","['pemandangan', 'indah']",pandang indah
38,Wahyoedi Yoedi,,5,03/16/2023 17:58:00,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoNDVicUtnEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh45bqKg%7CCgwIqLHNoAYQqPnG2gI%7C?hl=id,[],[],
