author,review_text,review_rating,datetime,review_link
feby ariansyah,,5,04/02/2023 11:41:53,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSN3RpVjJBRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR7tiV2AE%7CCgwIgdSloQYQ4L7xtgM%7C?hl=id
Febriana Rahmawati,"(Diterjemahkan oleh Google) Suejukk

(Asli)
Suwejukk",4,04/02/2023 03:35:49,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSenZITy1nRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRzvHO-gE%7CCgwIlfCjoQYQqJS6hQM%7C?hl=id
Juliann Alfendi,,4,03/31/2023 21:52:14,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSNW9INXlRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR5oH5yQE%7CCgwIjqydoQYQ6LGbmQE%7C?hl=id
Umi Kholishoh,,4,03/30/2023 13:03:28,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSbXBUd2xRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRmpTwlQE%7CCgwIoJGWoQYQsJPNkQM%7C?hl=id
maulia & mas didit,"Pemandangan alam yg sangat indah dan masih alami sejuk, sangat cocok untuk tempat liburan",5,03/29/2023 11:48:47,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSc3NXS0VBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRssWKEA%7CCgsIn8uQoQYQwP_EbQ%7C?hl=id
Nenita Yuliasari,Tempat sejuk untuk merefresh otak,5,03/29/2023 00:04:27,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSa3Vxd2ZBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRkuqwfA%7CCgwIi4GOoQYQgMuqugE%7C?hl=id
Okta Vian,"Dingin
Sejuk
Ada wahana berkuda dan speed boat
Pemandangan yang menakjubkan",5,03/28/2023 08:15:52,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSZ3ViWmlRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRgubZiQE%7CCgwIuMSKoQYQgO3f5wI%7C?hl=id
Machfud Lubis,,5,03/28/2023 07:52:43,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSZ3JLZ1dREAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRgrKgWQ%7CCgwIy7mKoQYQ6O2kswM%7C?hl=id
lee sulaiman,"Jalannya menanjak, isahakan kurang muatan kalo mau ke sini",5,03/26/2023 21:04:45,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSak5fbC1RRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRjN_l-QE%7CCgwI7eaCoQYQ6M_TgAI%7C?hl=id
apip NK,Tempat yg asri dan sejuk,5,03/26/2023 11:51:27,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSdE1taWd3RRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRtMmigwE%7CCgwIv-OAoQYQ6J6myQM%7C?hl=id
Hendra Fang,Udara seger adem,5,03/26/2023 11:17:48,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSdEk3VUZBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRtI7UFA%7CCgwI3NOAoQYQ-IjuygM%7C?hl=id
Handaya Dwi,,5,03/26/2023 03:38:37,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSbExfdXFRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRlL_uqQE%7CCgsIvfz-oAYQ4Lb1Bw%7C?hl=id
Eko Puji,,5,03/25/2023 15:33:43,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNScE1ieUJREAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRpMbyBQ%7CCgwI16j8oAYQ0OC3tQE%7C?hl=id
Ninik Puji Astuti,,4,03/25/2023 08:45:23,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSaElPVm9nRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRhIOVogE%7CCgsIo-n6oAYQ0ISQaw%7C?hl=id
Agth Elisa,"Telaga Sarangan, juga dikenal sebagai Telaga Pasir adalah telaga alami yang berada di ketinggian 1.200 meter di atas permukaan laut dan terletak di lereng Gunung Lawu, Kecamatan Plaosan, Kabupaten Magetan, Jawa Timur. Telaga ini berjarak sekitar 16 kilometer arah barat Kota Magetan.

Sarangan dengan sejuta kenangan, sarangan adalah alternatif healing untuk saya yang berdomisili di caruban, gatau kenapa kalo ke sarangan rasanya plong banget hehehe",5,03/25/2023 00:50:04,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSLUthTnVBRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR-KaNuAE%7CCgwIvIr5oAYQuKDg2QE%7C?hl=id
Adhinona DY,,5,03/24/2023 19:13:12,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSdU1xY0tnEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRuMqcKg%7CCgwIyOz3oAYQwKuxygM%7C?hl=id
Ach Zakariya,,4,03/24/2023 01:47:22,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNScUlHQW5RRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRqIGAnQE%7CCgwIqoL0oAYQ0Mj_8AI%7C?hl=id
Patricia Magdalena,"Bagus, bersih juga, sayang kesini tidak bawa sepatu jogging, padahal enak jogging keliling telaga sarangan",5,03/24/2023 00:11:31,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNScU56ei1nRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRqNzz-gE%7CCgwIs9XzoAYQoOnzgwI%7C?hl=id
Florensius Sukmowibowo,,5,03/23/2023 10:11:56,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSc0kyUURBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRsI2QDA%7CCgwI7MvwoAYQkOCHzAE%7C?hl=id
Annisa Salsabilla,"viewnya keren pol, suasanya adem, ramah lingkungan, aman damaii, sejukkk, rekomended pol",5,03/21/2023 11:46:49,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobjhYVjJnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhn8XV2gE%7CCgwIqbLmoAYQwOHuiQI%7C?hl=id
Reza Vahlevi,,5,03/21/2023 06:48:21,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoNzZIVjBBRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh76HV0AE%7CCgwItabloAYQ8P315gE%7C?hl=id
Herlyneka Vinariesta,,5,03/20/2023 14:51:21,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoajhqWTBnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhj8jY0gE%7CCgsI6eXhoAYQkJWAMA%7C?hl=id
Agus B.A,"Pemandangan dari sudut berbeda, selalu keren",5,03/18/2023 15:53:32,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoMjZHYmtnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh26GbkgE%7CCgwI_LzXoAYQ-K7QtwI%7C?hl=id
Takabusana Collection,,5,03/18/2023 02:44:30,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURocV9HeUdnEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhq_GyGg%7CCgwIjsvUoAYQwOjqzwI%7C?hl=id
lallany lalla,Dari semarang motoran ♥️🥲 cukup nekat yah. Tp terbayar sudah sesampainya di telaga. Di sana penduduknya ramah ramah🤭 pada nawarin nginep 😆😆😆,4,03/18/2023 00:56:12,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNlaEppaDdBRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICehJih7AE%7CCgsIrJjUoAYQ8MnqLQ%7C?hl=id
Aniza DwiAri safitri,Pemandangan yang indah,5,03/16/2023 22:10:18,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoazdxaWF3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhk7qiaw%7CCgwIyqfOoAYQ0NrLrAI%7C?hl=id
Wahyoedi Yoedi,,5,03/16/2023 17:58:00,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoNDVicUtnEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh45bqKg%7CCgwIqLHNoAYQqPnG2gI%7C?hl=id
Heru Prajoko,Bagus bersih tempatnya,5,03/16/2023 04:02:23,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoZzRUQW5RRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhg4TAnQE%7CCgsIz6nKoAYQyOrbbA%7C?hl=id
Nanda Trisna,,5,03/15/2023 06:32:23,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoN2FMU193RRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh7aLS_wE%7CCgsI98zFoAYQgJSkUw%7C?hl=id
Yohanes Baroway,,5,03/15/2023 03:30:53,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURocmNQMWtRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhrcP1kQE%7CCgwI7ffEoAYQ4NKLugM%7C?hl=id
rexzy wibowo,"tempat wisata kedua kalinya berkunjung disini, wisata yg berletak di kab magetan jatim dengan akses jalan naik gunung berbelok2 disuguhkan dengan pemandangan alam berupa pegunungan, villa, hotel, warung makan, kebun stroberi, kebun pohon cemara dan sawah terasiring. berangkat dini hari lebih diutamakan karena gratis tanpa harus bayar tiket masuk. tempatnya luas di sekitar telaga terdapat banyak bangunan, terutama kios jualan dan penginapan. ada juga mushalla dan kamar mandi umum. suhu dingin diatas rata-rata tergantung musim dan terdapat view bukit pegunungan yg mengitari telaga. tempat ini cocok untuk melepas penat dan kesuntukan dari padatnya kesibukan harian. sekian #happytravellingmate",5,03/14/2023 09:45:45,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURodGY3VXhBRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhtf7UxAE%7CCgwIyYTBoAYQwP2XkgM%7C?hl=id
Risa Oktavia,,5,03/14/2023 07:15:52,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoMVllLXFRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh1Ye-qQE%7CCgsIqL7AoAYQgLvdEg%7C?hl=id
Alif Setiawan,,4,03/12/2023 19:48:52,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURodWZpeVRREAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhufiyTQ%7CCgwIpNm4oAYQyOW3uAM%7C?hl=id
anita widyastuti,menikmati pemandangan telaga sarangan di sore hari dengan cuaca yang sejuk. Nyoba naik speed boat untuk 2x putaran dgn biaya 150 rb sangat worth to try,5,03/12/2023 13:48:09,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURobWE2V2FBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhma6WaA%7CCgwImbC3oAYQoOT78AI%7C?hl=id
zamzam akhmad,"Tempat rekreasi legendaris di kota magetan,",4,03/12/2023 12:13:27,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURobWNENWpRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhmcD5jQE%7CCgwI54O3oAYQ8JjjlgE%7C?hl=id
Ahmad Fajar,"Suhu cukup dingin,,",4,03/12/2023 12:07:20,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoNmYtWHdnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh6f-XwgE%7CCgwI-IC3oAYQyMHEkQI%7C?hl=id
Septa Widya,"Tempatnya bagus dan asri. Pemandangan menuju ke area Sarangan juga asyik sekali dengan ketinggian yg menarik. Kabut tebalnya juga keren sekaligus mengerikan. Hanya saja, dtg ke sana ketika gerimis. Padahal naik perahu maupun kuda sangat asyik dan murah. Hanya 70rb sekali putaran. Banyak jualan yg murah meriah juga untuk dinikmati.",5,03/12/2023 11:11:04,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoNmNPSlB3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh6cOJPw%7CCgwIyOa2oAYQ4JmF8gE%7C?hl=id
Sukma Smita Grah Brillianesti,"Tempat piknik terjangkau, banyak buah, sayur dan tanaman yg seger2. Coba naik speed boat dan diontang-anting, kayaknya naik itu bukan pilihan untuk menikmati suasana danau karena entah kenapa harus main2 adrenalin.",5,03/12/2023 11:10:30,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoNmNPS1BREAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh6cOKPQ%7CCgwIpua2oAYQ-JD8_wI%7C?hl=id
Retno Wijiastuti,"Parah, terlalu banyak kios, merusak pemandangan alam, jalan jadi sempit, kotor, danau banyak sampah menggenang di tepian, dan yang paling parah calo penginapan banyak sekali, baru datang dipaksa booking penginapan, ditawarkan dengan memaksa, tolong pemkab kembalikan suasana Sarangan seperti dulu lagi.",1,03/12/2023 08:08:23,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoNlpDRVZ3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh6ZCEVw%7CCgsI95C2oAYQqJmgJA%7C?hl=id
Muhammad,,5,03/12/2023 06:08:43,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURocWZuV0tREAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhqfnWKQ%7CCgwI69i1oAYQ8OrHrwI%7C?hl=id
Erma Wati,"Perjalanan kesini, jalanan jelas sangat challenging ya. Naik turun berkelok. Jadi pastikan kendaraan dalam kondisi prima. Tapi jangan khawatir, jalan halus dan lebar. View juga luar biasa.
Weekend rame sekali ya di telaga sarangan. Bisa naik speedboat dengan rate 80-200k. Naik kuda 70k. Banyak jualan oleh2 mulai dari makanan, tanaman, baju, sandal dll.
Karena banyak kuda, jd ya beberapa titik ada yg bau kurang sedap. Terus saran saja kalo naik speedboat mending langsung fix kan mau yg 1 atau 2 atau 3 putaran dan bayar di awal. Dan karena ad hotel yg memang letaknya bner2 di samping telaga, jd akses jalan jg hrs berbagi buat mobil, pejalan kaki, motor dan kuda.
Mungkin yang terniat pengen healing bisa ya kesini di weekday",4,03/12/2023 03:13:41,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURocWVDVU5BEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhqeCUNA%7CCgwI5Ya1oAYQkMSmpgI%7C?hl=id
Banditz 87,Bagus buat nyantai,5,03/12/2023 01:07:03,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoeWFYMXl3RRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhyaX1ywE%7CCgwIt8u0oAYQoK2mygM%7C?hl=id
Sundari Sundari,,5,03/11/2023 15:08:04,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoOGRMTWtnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh8dLMkgE%7CCgwI1LKyoAYQyPiJ5wE%7C?hl=id
Alvaro HSuiklju,"HTM dewasa 19rb anak 9rb...mobil n motor bs masuk smpe pinggir telaga,free parkir...spanjang telaga ada warung makanan,oleh2,penginapan,villa, toilet n mushola jg bnyak...hrg makanan ga mnguras kantong...tarif naik kuda 70rb skali putaran,boat 80rb/putar 200rb/3putar...cocok buat refresh krn udaranya sejuk +/- 1300 mdpl",4,03/11/2023 13:09:35,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoc2IzQ0F3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhsb3CAw%7CCgwIj_uxoAYQ0IuGsAI%7C?hl=id
VG,Seru speedboatnya,5,03/11/2023 13:01:18,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoc2MyLVdREAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhsc2-WQ%7CCgsInvexoAYQuOHrXw%7C?hl=id
Ananda H. P.,"cuacanya dingin, kesini ketagihan naik speedboat 😂",5,03/11/2023 11:38:25,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoc2VyRjdRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhserF7QE%7CCgwIsdCxoAYQsOvg8wI%7C?hl=id
Umar Rosyid,Gak mau turun... Naik odong odong,5,03/11/2023 10:28:20,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURoc1lqb1Z3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDhsYjoVw%7CCgwIxK-xoAYQiM_0uwM%7C?hl=id
Ghitsya Affvia,ADEMM POULL!!! SERU BUAT PIKNIK SAMA KELUARGA. kesini naik jet seru banget,5,03/11/2023 07:08:55,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoMGRxVzd3RRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDh0dqW7wE%7CCgsIh9KwoAYQsJXEfg%7C?hl=id
