,review_text,Sentiment
82,a cool family tour riding a horse around the lake and riding a mantaff soss speed boat,Positif
83,in,Netral
84,in,Netral
85,in,Netral
86,i came here not planned  aka impromptu  after an invitation from madiun  my friends invited me to come here  because all of us needed to come home until here  that afternoon to the afternoon  the weather was really cold  but it was really cool  it was really crowded  because on sunday  each person entered the car park  i think i forgot  how many people are selling at the length of the edge of the lake  the lake is very wide  if you want to go around walking  you will be tired  you can rent a horse x rounds  you can also take a boat  you can take a boat for people and the driver per person  you pay   rupiah so the boat is   so the driver will be stopped by writing on the nesting lake and in the photo  you can also go around the lake for quite a long time and sometimes you are invited to speed  for those who are afraid of water  you can ask to go slowly  but it s safe  you don t have to go up hahaha for motorbikes and cars  you can park near the lake  but for the bus it s a bit far so you have to walk so that you can get to the lake around here  there are also many inns that can be for staycation with family or partner or camping can also have toilet and prayer room facilities,Positif
87,in,Netral
88,come here in the afternoon on weekdays it s rather quiet so you can enjoy the atmosphere better,Positif
89,the place is comfortably cool but just go to the toilet and tell me to pay k,Positif
90,beautiful beautiful suitable for family recreation,Positif
91,in,Netral
92,in,Netral
93,in,Netral
94,in,Netral
95,translated by google the air is fresh  cool and refreshing original the air is fresh and cool and refreshing,Positif
96,great views experience and food translated by google great views experience and maka,Positif
97,from tulungagung comes the official dance,Netral
98,good translated by google good,Positif
99,sorry to say  but it s overprice for a ticket  rb per person  enter the car park  pay again  bring the hotel parking car  buy pecel rice  just rice with pecel seasoning  but you can t get tempeh or anything bad  it s better to just bring supplies,Negatif
100,the view of the lake tour is good  especially if it s foggy when going around the lake by speedboat  it triggers adrenaline even more because the thought of bringing children in and out needs to walk a bit far back to the parking area because you will be missed by the shopping stands first,Positif
101,in,Netral
102,the wheels on the bus go around and around all trought the town translated by google,Netral
103,cold,Negatif
104,in,Netral
105,in,Netral
106,sipp,Netral
107,in,Netral
108,awesome vacation spot,Positif
109,in,Netral
110,cool place spoils the eye riding a horse around the lake where it is clean because the horse is given a bag  an experienced driver must be careful when going to the attack lake,Positif
111,the right place for healing  the atmosphere is good and the facilities are a lot of shopping  also cheap  fresh vegetables at affordable prices,Positif
112,come if it s not raining  it s definitely good,Positif
113,my milk is delicious cold suitable for healing,Positif
114,sarangan has started to go well  but it s annoying to be extorted by kang  parking is a problem  forcing me to use the attributes of the transportation agency  there s no ticket  when i want to go back  i m asked to help me get the motorbike  pretend i don t know when i took it out myself  i was yelled at  i thought i broke up the parking lot ,Negatif
115,tourist attraction of the lake above the mountain with beautiful views of the beautiful and cool air from the entrance you will find tet selling various souvenirs  be it traditional clothes or light vegetables and fruit  you can walk around the lake which can be reached in about minutes if you jog around minutes or you can ride a horse  rent idr k or while enjoying the sensation of the waves by riding a speed boat  rent idr k for x rounds around the lake area  which can be used as an object for shooting your camera  the entrance ticket to this tourist attraction is idr k ps,Positif
116,in,Netral
117,good souvenirs here are also cheap unfortunately come when it s cloudy,Positif
118,in,Netral
119,the view is ok but the small prayer room is not representative,Positif
120,cool air and exotic scenery,Positif
121,in,Netral
122,in,Netral
123,in,Netral
124,in,Netral
125,the first time here  huaaaa  so happy  the atmosphere is really cool  cool  cool  cool  aaaaaa  the best  this is the nest of the nest,Positif
126,it s great  it s really exciting to ride a boat  hahahaha  it s cold  don t forget to wear a jacket,Positif
127,one of the famous tourist destinations in magetan  the first time i came here was an hour long journey from mojokerto  the temperature in the lake area is quite cold  it is recommended for those who can t stand the cold to wear a thick jacket because the hoodie jacket will still be cold  also  speed boat rentals of ducks and ducks are provided at affordable prices for culinary there are many female sellers  stalls around the lake for those who want to stay there are also many villa inns near the last lake  please always be careful because there are lots of wild monkeys ready to steal  so you should always be vigilant  don t be careless,Negatif
128,in,Netral
129,come here during the rainy season so the air is cold and the wind is quite strong  sir  the driver and what attracts the horses here have cool cool names  there is an oscar  stalion  rama  virgo  marco  etc  overall  i am very satisfied with my vacation here,Positif
130,i don t know how many times i ve been here but i ve never been bored  i always don t come here anymore  because here the weather is cool  it feels good to be here,Positif
131,nice views,Positif
132,good,Positif
133,in,Netral
134,in,Netral
135,in,Netral
136,in,Netral
137,the place is cool  cold  a place for recreation  which is really a recommendation,Negatif
138,in,Netral
139,this place is suitable for recreation with family,Positif
140,cold  cold  beautiful view  extraordinarily crowded  very crowded with visitors  especially on weekends or national holidays when high school students are camping with friends from the village of singing to increase costs and have breakfast  the last visit was when college friends  wives  reunions here,Positif
141,cool healing place  cool place  beside the lake  lots of places to drink coffee and eat  entrance fee per person  coffee and snacking starts  k needs to be tried,Positif
142,in,Netral
143,good,Positif
144,very crowded on red dates,Positif
145,in,Netral
146,in,Netral
147,in,Netral
148,in,Netral
149,translated by google adeem original process,Positif
150,in,Netral
151,in,Netral
152,the place is cool  comfortable and good for yoga in the morning,Positif
153,good mood,Positif
154,in,Netral
155,there are culinary attractions  there are scenic speedboats  there are horseback rides  there is fresh air,Positif
156,worth a visit,Positif
157,it could be an alternative for your family vacation here  you can ride a horse  eat rabbit satay and chicken  grilled corn  pecel rice  take a speedboat  it s really exciting  and of course the natural scenery around the lake  the air is cool  there are many inns that directly face the lake  if you re from solo  you have to be extra careful because of the road it goes up and up and reaches the border of east java  central java  the road starts to go down sharply and winding  make sure it s safe,Positif
158,the place is fun  so it s also delicious  what s characteristic is that the rabbit satay has lots of inns too and access to the road is wide,Positif
159,in,Netral
160,in,Netral
161,in,Netral
162,in,Netral
163,the price of admission is rather expensive with existing facilities,Negatif
164,come here when it s hot  it s really crowded  just walking around the lake is pretty good,Positif
165,really nice view in the area of  the lake nest,Positif
166,in,Netral
167,the weather is very cool because in the highlands there is no entrance ticket  you only need to pay for parking  access the entrance  in my opinion  there are extreme points where there are lots of sellers  so there is rabbit satay  a ride on a speed boat  ride a horse,Positif
168,lack of toilets near the lake,Positif
169,in,Netral
170,it s a really good place for cheap tickets  thousands of people  especially if in the morning and half the afternoon you can see the view,Positif
171,it s really good  it s good if you go for a walk in the morning  the temperature is warm  you can take a speedboat  the price is also affordable  the people are traders  the shops selling souvenirs there are also cheap  the prices are really top for holidays with family,Positif
172,in,Netral
173,in,Netral
174,in,Netral
175,in,Netral
176,black coffee rabbit satay is perfect while looking at the lake,Positif
177,cool  good tag  quite clean  accommodation is quite cheap,Positif
178,in,Netral
179,it s cool and cool around the nest of many sellers,Positif
180,nice place to visit with your family visited in and wish to visit again some day beautiful scenery surrounding the lake fresh air delicious rabbit satay horse riding and many more attractions translated by google one day ti beautiful scenery surrounding the lake fresh air delicious rabbit satay horseback riding and many other attractions,Positif
181,in,Netral
182,in,Netral
183,good place to go by speedboat k the boat can be filled with people round but the way is really fast there is also a paddle duck boat here there is also a market that is cheap and sells vegetables itinerant plant sellers are also cheap to bargain for before there is also rabbit satay which is good to ride horses around the lake too can,Positif
184,my best experience during my holiday was a staycation near the sarangan lake  the view is really good  the atmosphere is also warm and the air is cool  the people are friendly  so it s delicious and the price is cheap  this place is really recommended for healing ,Positif
185,in,Netral
186,it s very good  masyaallah it s cool to be able to ride horses and cool boats  but there  if it s the rainy season  you have to bring a raincoat,Positif
187,the place is really nice and cool  it s so nice to be able to have a vacation here sitting by the side of the lake enjoying the very beautiful natural scenery  it feels like i want to come back here again  it s like i m not bored  especially the first experience of riding a speedboat is very collectible  but it s a shame when i come here  the shop sells souvenirs and it s already many are closed even though it s still in the afternoon,Positif
188,a very beautiful and beautiful lake  a destination that you can visit on a solo trip or vacation with your family  the entry ticket price is idr   per person  here there are special culinary delights that you must try and for those who want to stay around the nest  there are also various lodging price offers ,Positif
189,in,Netral
190,in,Netral
191,a beautiful place for a vacation  the price of an affordable timer and adequate facilities  try the wanib rabbit satay here  the price is cheap  there are fruit vegetables and clothes too,Positif
192,the place is really nice  it feels like abroad  it needs additions  such as trash cans in every corner so that the place is cleaner again,Positif
193,in,Netral
194,there are ducks,Netral
195,translated by google the lake is nesting  the original is lake sarangan ngeni,Positif
196,in,Netral
197,in,Netral
198,this place is so exciting there are horses as well as many basic inns  the best,Positif
199,translated by google very cool in the eyes and heart original very cool in the eyes and heart,Positif
200,night here,Netral
201,fresh place,Positif
202,one of the best picnic spots in magetan district,Positif
203,pretty good for chilling while drinking coffee,Positif
204,translated by google cool nice view original cool nice view,Positif
205,in,Netral
206,in,Netral
207,in,Netral
208,the cool air is good for chilling,Positif
209,in,Netral
210,translated by google  the air is very cold  originally  the air is really cool,Negatif
211,cold,Negatif
212,solid,Netral
213,extraordinarily beautiful along the way  never get bored to enjoy the scenery  it s cool  i just put on a double jacket and go home accompanied by the fog  but it s really exciting,Positif
214,in,Netral
215,natural tourism,Positif
216,this is the second time to go there by riding a thousand horse on a thousand speedboat,Netral
217,the scenery is good  the weather is cool  it s good for a family vacation,Positif
218,week is quite crowded,Netral
219,healing nimas is fun,Positif
220,ntap,Netral
221,the maps are very helpful,Positif
222,it s very stunning  the tourist spot of sarangan lake is just great,Positif
223,in,Netral
224,it s not in vain last november that i had a vacation to sarangan lake because the air there is very cool and the scenery is really beautiful  next time when i have school holidays i want to go to sarangan lake,Positif
225,translated by google suka asli sukaaa,Netral
226,adem,Netral
227,in,Netral
228,will be more looks serene if you can come in off season translated by google,Positif
229,in,Netral
230,decline,Netral
231,the air is cool with the nature of the mountains,Positif
232,in,Netral
233,one of the destinations on the border of karanganyar  magetan  a nice  cold foggy place for children  you must bring a thick jacket,Negatif
234,wow  the scenery is so beautiful  especially in the morning  when the weather was sunny yesterday there from night to noon  so i want to linger around the mountains and forests which are still beautiful  plus the fog which makes it even more beautiful  especially when there is a speed boat that drives adrenaline so much,Positif
235,actually  it s a cool cool place  so the price is still reasonable  for example  the satay is only rb per skewer  which is a problem when staying there  it s hard to sleep because it s noisy  karaoke  not everyone wants to dance to sing because there is a fresh place suitable for relaxing  for example  if you want karaoke in a tight room so you don t disturb everyone the same way do not be selfish,Positif
236,please  those who want to refresh for a moment to get rid of the fatigue of the daily routine are really recommended for those who are looking for a cool place,Positif
237,comfortable and beautiful suitable for a vacation with family,Positif
238,cool weather is suitable for healing  preferably when it s still early in the morning so it s not too crowded and the air is still cold,Positif
239,unfortunately in the new year the parking lot is full so can t enter,Negatif
240,even though i have only visited this place once but the extraordinary impression has been felt so far,Positif
241,suitable for just relaxing  eating and enjoying the atmosphere  there is horse riding and boat entertainment  as well as cheap entrance tickets  the food is affordable and normal,Positif
242,quite interesting rides jet sky boats and horses and the rest eat satay,Positif
243,the air is very cool and comfortable,Positif
244,cool place to rain when the weather is cloudy,Positif
245,htm k a lot of people offering villas all the way to the serangan plaque  mayan for a parking break  a lot of cheap  cheap prices  the center is provided with sweet fresh strawberries  photo services  k per pict file  send a cell phone if it s printed  you can forget  maybe k per pic  there s a speedboat rental yesterday s horse was already closed because it was full in the effect of the new year kek,Positif
246,nice xtreme chill,Positif
247,really cool,Positif
248,in,Netral
249,delicious for morning mecel,Positif
250,a great vacation spot with cool air,Positif
251,in,Netral
252,in,Netral
253,in,Netral
254,the view is good but unfortunately right there when there is a rainstorm,Positif
255,it s exciting  the weather is really cold  prepare thick jackets  lots of children s culinary delights,Negatif
256,in,Netral
257,kereennn admmmm,Netral
258,the christmas atmosphere at the nest is great,Positif
259,in,Netral
260,a place that is cool and cool for coffee and breakfast on the edge of the lake  so for tourist areas it is very cheap and uniform prices  especially when the weather is foggy in the lake  it is beautiful  cold and makes you comfortable,Positif
261,nest lake,Netral
262,in,Netral
263,jooosss,Netral
264,keren,Netral
265,not exciting but srru,Negatif
266,special,Positif
267,okay  this holiday  because it s my first time here  so i ll tell you about the road conditions first  for road conditions  when it s less than a minute to get to the location of the lake  the way up and down is pretty decent  it s a bit like the malang cangar road  so for friends who are also the first time  for my friend s consideration  i brought it livina s old car is of course front drive because i have a lot of family and friends but small cars  so with strict selection  adults are finally selected  children who go with passengers that much  thank god  the net goes up and down smoothly on gears  the engine before leaving and more importantly check the brakes  how come it felt like earlier the downtime was a bit steep as if someone was pushing it  so people entered the ticket location but earlier it seems like the children weren t counted by the ticket guards because this was together with the nataru holiday so the situation seemed very busy so the parking lot was close the location is full  in the end you can park about meters from the location of the car parking fee  but there are lots of parking locations  so you don t have to worry about entering the location  as i said earlier  it s crowded  it s cool  the scenery is a little foggy  and for friends who come from far away and are tired  just want to stay  lots of lodging and the hotel is here  but i don t know the rates  because i m in the bpjs bag category  so it s better to stay at a relative s place  which happens to be a minute from here  so the price  in my opinion  is normal  for example k portion rabbit satay or make sure to ask the price before ordering so that unwanted things don t happen about the price after eating for coffee tea a little more expensive than where i am here because the glass is small but it is still very reasonable for the size of a tourist location okay in the meantime my short lecture about the tourist location of the magetan lake nest  greetings,Positif
268,in,Netral
269,in,Netral
270,an interesting tourist attraction that needs to be considered for wheeled vehicle access to lodging around the lake because there are lots of horses  street people and two wheeled vehicles parking on the nets  especially near the market entrance  at least so that they pay attention to each other because it s a public road without restrictions on wheeled vehicles,Positif
271,in,Netral
272,the place is foggy  make sure those who can t stand the cold bring a jacket  if you use a car  you can park directly near the lake  if you use a minibus  you have to park first  then charter a small car to take you to the lake per person or walk  you can also do sports first  even though there are boats going up and down  riding a duck horse  lots of women selling hot corn  fresh vegetables  ornamental plants and fresh strawberries,Positif
273,great place to run from daily activities but it is too crowded during holidays or weekends because the lake is not wide the other side can be seen clearly you can ride a horse or boat or simply walk around translated by google everyday but too crowded during holidays or weekends because the lake is not wide the other side can be seen clearly you can ride a horse or boat or just take a walk,Positif
274,cold and beautiful,Positif
275,in,Netral
276,in,Netral
277,really cold my advice when visiting in december wear thick clothes take a speedboat one round ride a horse one round ride a machine duck don t forget to shop for fruit vegetables mandatory if i,Negatif
278,in,Netral
279,it s cool and it can get very cold  the people are friendly  although there are some  if they sell it  they give it directly to small children  if they don t get it  it s automatic  the parking lot is wide  the atmosphere at night is great,Positif
280,the wind is strong,Positif
281,the place is nice cool but i don t do anything just eat satay,Positif
282,in,Netral
283,the first time our family went to the tourist destination of sarangan lake  the atmosphere is cool  the hotel without air conditioning is already cold  there are speedboat facilities to explore the lake and horses to get around the lake  the scenery is very beautiful  the entrance ticket is rp  explored for healing and chilling from the hustle and bustle of the city there is a souvenir shop for family souvenirs for culinary there is chicken satay  pecel rice  chicken noodles  meatballs  seafood etc  it is suitable if you visit on weekdays  on weekends it is very busy  the night atmosphere is also quite crowded,Negatif
284,translated by google cold cold beerrr original cool cold beerrr,Negatif
285,cool place,Positif
286,translated by google  it s been a long time since the original wes suwi,Positif
287,in,Netral
288,one of the most favorite tourist destinations,Positif
289,in,Netral
290,one of my family s favorite tourist destinations there is a speedboat facility to explore the lake and horses to get around the lake there are many places that can be explored for healing and relaxing from the hustle and bustle of the city there is a gift shop for souvenirs for families rabbit satay stalls selling pecel pop noodles etc  very convenient if visit on weekdays,Positif
291,sunday entrance ticket  horse ride  rbu speed boat  rbu,Netral
292,sip translated by google sip,Netral
293,interesting natural attractions  a combination of lakes  hills  mountains  islands in the middle of the lake  hotels  shops and traders around the lake  can be enjoyed during the day and night for its beauty,Positif
294,crowded  not tidy  not clean  but the lake is beautiful and when the fog is beautiful,Positif
295,a cheap  lively place with cool air,Positif
296,in,Netral
297,in,Netral
298,in,Netral
299,lake at the foot of mount lawu,Netral
300,great bestiii,Positif
301,the location around is cold even though it s not as cold as before there are many inns around the sunset and sunrise locations are beautiful,Positif
302,in,Netral
303,in,Netral
304,in,Netral
305,in,Netral
306,in,Netral
307,in,Netral
308,comfortable place to relax,Positif
309,around the lake  it is not clean  there is a lot of horse manure which is scattered and very smelly  maybe it can be put in order again,Positif
310,in,Netral
311,suitable for cr new destinations that are recently crowded with visitors,Positif
312,beautiful place translated by google beautiful place,Positif
313,good for educational tours  kindergarten  for family vacations  it s also a good place  comfortable and clean  only if you come on the weekend  it s rash  masyaallah,Positif
314,in,Netral
315,in,Netral
316,in,Netral
317,in,Netral
318,beautiful lake in east java,Positif
319,i ve been to the sarangan lake x and in my opinion there are pluses and minuses when visiting the sarangan lake tourist attraction plus the view is good  lots of food and drink sellers while chatting on the edge of the lake while eating pecel  great lots of lodging so if you want to stay after walking around the lake  you can really have it  daily lodging and renting villas can also sell lots of souvenirs but have never bought one  you can ride a speed boat and ride a horse  if you are in sarangan  how much does it cost  forget about the last boarding time  when playing a speed boat  don t forget to use a life jacket for safety  minus the guardrails surrounding the lake is really low  so for example  there is a small child running and running without the supervision of his parents  he keeps slipping into the lake  okay bye bye  i don t understand why the fence is so low  even though it dives once  it s scary  you know  even though there s a police station near there  but i think it would be safer if the fence is raised  there are some monkeys there  you don t know if they are aggressive or not  but you can also be more careful when carrying things  who knows the monkeys want to be nosy  that s all the experience when playing at sarangan lake  hopefully in the future it will be even better  especially on the guardrail around the lake thank you,Positif
320,in,Netral
321,in,Netral
322,beautiful scenery and beautiful cool air suitable for choice of vacation spots  there are speed boat and horse rentals in the sarangan area as well as many shops selling souvenirs and souvenirs,Positif
323,in,Netral
324,in,Netral
325,the place is really nice and cool  it s so nice to be able to have a vacation here sitting by the side of the lake enjoying the very beautiful natural scenery  it feels like i want to come back here again  it s like i m not bored  especially the first experience of riding a speedboat is very collectible  but it s a shame when i come here  the shop sells souvenirs and it s already many are closed even though it s still in the afternoon,Positif
326,in,Netral
327,in,Netral
328,in,Netral
329,many,Positif
330,sarangan lake is located in magetan on the slopes of mount lawu it is kilometers from magetan city or only km from tawangmangu we can go to this area by using private vehicles or by public transportation this lake is located at an altitude of meters above sea level with an area of approximately ha and a water depth of up to meters the main attraction of this area lies in the lake where we can rent a boat in this lake for only thousand rupiah besides that the atmosphere in the nest is very cold and cool the access road to the sarangan lake is quite safe and wide the ticket price for entering this area is thousand rupiah coupled with the parking fee for cars of thousand rupiahs and motorbikes of thousand rupiahs prices can be considered balanced with an area that can be enjoyed together with the family for those who need lodging around the lake there are many inns and homestays with various prices according to the facilities you will get diterjemahkan oleh google telaga sarangan terletak di magetan di lereng gunung lawu jaraknya kilometer dari kota magetan atau hanya berjarak km dari tawangmangu kita bisa menuju kawasan ini dengan menggunakan kendaraan pribadi maupun dengan kendaraan umum danau ini berada di ketinggian mdpl dengan luas kurang lebih ha dan kedalaman air hingga meter daya tarik utama kawasan ini terletak pada danaunya dimana kita bisa menyewa perahu di danau ini hanya dengan ribu rupiah saja selain itu suasana di dalam sarang sangat dingin dan sejuk akses jalan menuju telaga sarangan cukup aman dan lebar harga tiket masuk kawasan ini adalah ribu rupiah ditambah lagi dengan biaya parkir mobil sebesar ribu rupiah dan motor sebesar ribu rupiah harga bisa dibilang seimbang dengan luas yang bisa dinikmati bersama keluarga bagi yang membutuhkan penginapan di sekitar danau banyak terdapat penginapan dan homestay dengan harga yang bervariasi sesuai dengan fasilitas yang akan anda dapatkan,Positif
331,healing translated by google healing,Netral
332,sitting on the edge of the sarangan lake contemplating and being grateful that god created nature so beautiful for us to take care of it,Positif
333,in,Netral
334,translated by google  don t be stupid if it s not crowded,Negatif
335,very cool place  lots of stalls  food stalls and clothes  recommended for family tours  free parking and there are already several bathrooms and a prayer room,Positif
336,in,Netral
337,solid poll,Netral
338,you can ride a horse to explore around the lake you can also ride the boat it s pretty fun you will find a traditional market nearby that sells various things from fresh vegetables fruits flowers to daily clothing and so on there are many hostels too nearby google you can ride a horse to explore around the lake you can also take a boat it s quite fun you will find a traditional market nearby selling all kinds of goods from fresh vegetables fruits flowers to daily clothes and so on there are lots of hostels also nearby,Positif
339,nice view  great afternoon  the dew has started to fall  so the atmosphere is getting colder,Positif
340,translated by google turn on the original keeren runs out,Positif
341,it s really good there  what else is the view right when the sun is about to rise it s really good if you have a delicious breakfast  you don t have to look for it right there  there are also people selling pecel rice  so it s delicious  what else if at night a lot of people are selling there  it s really fun to go there,Positif
342,suitable,Positif
343,tourist attraction,Netral
344,come here when riding around lawuu on sundays the visitors are booming  there are lots of cool places coz the slopes of mount lawu for entertainment there are boats that take us around the lake there are horses too to go around the lake to pay but on the banks of the lake there are lots of culinary rabbit satay and other things just top daah,Positif
345,in,Netral
346,the road is not asphalt and no one is dead,Negatif
347,cold cold,Negatif
348,in,Netral
349,in,Netral
350,good crowded friendly friendly visitors and cheap standard jaja prices similar to ordinary stalls,Positif
351,it s great to be impressed by the original thrilling stongbud boat,Positif
352,good,Positif
353,want to come to nest again,Netral
354,translated by google entrance ticket per person to see the well there is a speed boat ride to the market made by the hotel is also original entrance ticket per person to see the well there is a speed boat ride to the market made by the hotel as well,Positif
355,in,Netral
356,the view is nice to be able to ride a horse too,Positif
357,in,Netral
358,in,Netral
359,alhamdulillah more blessings one way to watch livoli and have a picnic here with my beloved family,Positif
360,decline,Netral
361,the last time i was here earlier this year with my family  my children really liked to ride horses around the lake  although at first i was a bit afraid for the unforgettable culinary delights  the rabbit satay is really good to eat in a cold place like here,Positif
362,beautiful place translated by google beautiful place,Positif
